ts,price,mrp,in_stock,seller,shipper
2026-09-11T02:04:23+00:00,328.00,455.00,1,,
2026-09-11T02:30:32+00:00,328.00,455.00,1,,
2026-09-11T05:19:31+00:00,328.00,455.00,1,,
2026-09-11T07:12:52+00:00,328.00,455.00,1,,
2026-09-11T09:48:27+00:00,328.00,455.00,1,,
2026-09-11T13:51:24+00:00,328.00,455.00,1,,
2026-09-11T17:19:59+00:00,328.00,455.00,1,,
2026-09-11T19:48:35+00:00,328.00,455.00,1,,
2026-09-11T21:59:34+00:00,328.00,455.00,1,,
2026-09-11T23:54:02+00:00,328.00,455.00,1,,
2026-09-12T02:57:30+00:00,328.00,455.00,1,,
2026-09-12T07:39:26+00:00,328.00,455.00,1,,
2026-09-12T11:42:46+00:00,328.00,455.00,1,,
2026-09-12T14:22:28+00:00,328.00,455.00,1,,
2026-09-12T17:16:48+00:00,328.00,455.00,1,,
2026-09-12T19:25:08+00:00,328.00,455.00,1,,
2026-09-12T21:31:46+00:00,328.00,455.00,1,,
2026-09-12T23:12:48+00:00,328.00,455.00,1,,
2026-09-13T00:59:23+00:00,328.00,455.00,1,,
2026-09-13T05:41:01+00:00,328.00,455.00,1,,
2026-09-13T10:36:35+00:00,328.00,455.00,1,,
2026-09-13T14:39:04+00:00,328.00,455.00,1,,
2026-09-13T17:37:38+00:00,328.00,455.00,1,,
2026-09-13T19:44:04+00:00,328.00,455.00,1,,
2026-09-13T21:45:41+00:00,328.00,455.00,1,,
2026-09-13T23:36:46+00:00,328.00,455.00,1,,
2026-09-14T01:36:15+00:00,328.00,455.00,1,,
2026-09-14T07:01:43+00:00,328.00,455.00,1,,
2026-09-14T13:48:45+00:00,328.00,455.00,1,,
2026-09-14T18:53:53+00:00,328.00,455.00,1,,
2026-09-14T22:14:47+00:00,480.00,566.00,1,,
2026-09-15T14:57:23+00:00,480.00,566.00,1,,
2026-09-16T06:50:27+00:00,480.00,566.00,1,,
2026-09-16T19:45:40+00:00,480.00,566.00,1,,
