ts,price,mrp,in_stock,seller,shipper
2026-08-01T20:57:02+00:00,660.00,1205.00,1,,
2026-08-05T06:04:29+00:00,660.00,1205.00,1,,
2026-08-05T07:48:33+00:00,660.00,1205.00,1,,
2026-08-05T10:17:00+00:00,660.00,1205.00,1,,
2026-08-05T11:05:21+00:00,660.00,1205.00,1,,
2026-08-05T11:08:56+00:00,660.00,1205.00,1,,
2026-08-05T11:23:31+00:00,660.00,1205.00,1,,
2026-08-05T12:19:15+00:00,660.00,1205.00,1,,
2026-08-05T14:38:01+00:00,660.00,1205.00,1,,
2026-08-05T16:18:56+00:00,660.00,1205.00,1,,
2026-08-05T17:56:12+00:00,660.00,1205.00,1,,
2026-08-05T19:24:30+00:00,660.00,1205.00,1,,
2026-08-05T20:43:17+00:00,660.00,1205.00,1,,
2026-08-05T21:58:50+00:00,660.00,1205.00,1,,
2026-08-05T22:56:21+00:00,660.00,1205.00,1,,
2026-08-05T23:57:02+00:00,660.00,1205.00,1,,
2026-08-06T02:11:57+00:00,660.00,1205.00,1,,
2026-08-06T05:26:21+00:00,660.00,1205.00,1,,
2026-08-06T08:00:09+00:00,660.00,1205.00,1,,
2026-08-06T10:41:22+00:00,660.00,1205.00,1,,
2026-08-06T12:29:45+00:00,660.00,1205.00,1,,
2026-08-06T14:53:51+00:00,660.00,1205.00,1,,
2026-08-07T00:18:21+00:00,660.00,1205.00,1,,
2026-08-07T03:19:00+00:00,660.00,1205.00,1,,
2026-08-07T05:05:58+00:00,660.00,1205.00,1,,
2026-08-07T06:15:00+00:00,594.00,1205.00,1,,
2026-08-07T07:45:24+00:00,594.00,1205.00,1,,
2026-08-07T08:41:09+00:00,594.00,1205.00,1,,
2026-08-07T09:39:35+00:00,594.00,1205.00,1,,
2026-08-07T10:30:54+00:00,594.00,1205.00,1,,
2026-08-07T11:23:20+00:00,594.00,1205.00,1,,
2026-08-07T12:07:32+00:00,594.00,1205.00,1,,
2026-08-07T13:33:14+00:00,594.00,1205.00,1,,
2026-08-07T14:36:01+00:00,594.00,1205.00,1,,
2026-08-07T15:31:28+00:00,594.00,1205.00,1,,
2026-08-07T16:25:30+00:00,594.00,1205.00,1,,
2026-08-07T17:21:54+00:00,594.00,1205.00,1,,
2026-08-07T18:07:09+00:00,594.00,1205.00,1,,
2026-08-07T19:11:00+00:00,594.00,1205.00,1,,
2026-08-07T19:57:31+00:00,594.00,1205.00,1,,
2026-08-07T20:36:44+00:00,594.00,1205.00,1,,
2026-08-07T21:19:58+00:00,594.00,1205.00,1,,
2026-08-07T21:58:44+00:00,594.00,1205.00,1,,
2026-08-07T22:32:17+00:00,594.00,1205.00,1,,
2026-08-07T23:07:59+00:00,594.00,1205.00,1,,
2026-08-07T23:44:45+00:00,594.00,1205.00,1,,
2026-08-08T00:33:27+00:00,594.00,1205.00,1,,
2026-08-08T02:32:57+00:00,594.00,1205.00,1,,
2026-08-08T03:52:15+00:00,594.00,1205.00,1,,
2026-08-08T04:42:41+00:00,594.00,1205.00,1,,
2026-08-08T05:25:18+00:00,594.00,1205.00,1,,
2026-08-08T06:04:54+00:00,594.00,1205.00,1,,
2026-08-08T07:10:19+00:00,594.00,1205.00,1,,
2026-08-08T07:56:49+00:00,594.00,1205.00,1,,
2026-08-08T08:35:58+00:00,594.00,1205.00,1,,
2026-08-08T09:19:44+00:00,594.00,1205.00,1,,
2026-08-08T09:57:17+00:00,594.00,1205.00,1,,
2026-08-08T10:28:16+00:00,594.00,1205.00,1,,
2026-08-08T10:59:59+00:00,594.00,1205.00,1,,
2026-08-08T11:29:56+00:00,594.00,1205.00,1,,
2026-08-08T12:39:40+00:00,594.00,1205.00,1,,
2026-08-08T13:30:22+00:00,594.00,1205.00,1,,
2026-08-08T14:06:46+00:00,594.00,1205.00,1,,
2026-08-08T14:45:20+00:00,594.00,1205.00,1,,
2026-08-08T15:12:28+00:00,594.00,1205.00,1,,
2026-08-08T15:44:10+00:00,594.00,1205.00,1,,
2026-08-08T16:12:07+00:00,594.00,1205.00,1,,
2026-08-08T16:50:21+00:00,594.00,1205.00,1,,
2026-08-08T17:15:36+00:00,594.00,1205.00,1,,
2026-08-08T17:48:32+00:00,594.00,1205.00,1,,
2026-08-08T18:14:18+00:00,594.00,1205.00,1,,
2026-08-08T19:01:31+00:00,594.00,1205.00,1,,
2026-08-08T19:34:34+00:00,594.00,1205.00,1,,
2026-08-08T20:25:51+00:00,594.00,1205.00,1,,
2026-08-08T20:57:31+00:00,594.00,1205.00,1,,
2026-08-08T21:26:10+00:00,594.00,1205.00,1,,
